name,phase,status,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,test_slot_f1,test_slot_f1_std,test_intent_acc,test_intent_acc_std,dev_slot_f1,dev_intent_acc,notes,timestamp
Baseline lr=1e-4,0,done,0.0001,20,1,1,20,0.0,0.08483230240930614,0.070973857184046,0.6860022396416574,0.043449048152295645,0.08451148228896659,0.2947791164658634,,2026-06-26 21:51:40
Baseline lr=5e-4,0,done,0.0005,20,1,1,20,0.0,0.05603902568679575,0.05814423064919834,0.7077267637178052,0.0,0.13365272298972658,0.7369477911646586,,2026-06-26 21:52:41
Baseline lr=1e-3,0,done,0.001,20,1,1,20,0.0,0.12043861076087774,0.008699460675628917,0.7077267637178052,0.0,0.1620568737080455,0.7369477911646586,,2026-06-26 21:53:35
Baseline lr=5e-3,0,done,0.005,20,1,1,20,0.0,0.8665091553959188,0.003879772187694578,0.9097424412094066,0.005037949329989722,0.9186049645727724,0.9550200803212852,,2026-06-26 21:58:22
Baseline lr=1e-2,0,done,0.01,20,1,1,20,0.0,0.8734761274590934,0.010191917147250798,0.9301231802911534,0.011345061717280128,0.928135831796463,0.967871485943775,,2026-06-26 22:02:17
Baseline lr=5e-2,0,done,0.05,20,1,1,20,0.0,0.8865682582706913,0.0070108921429514045,0.94535274356103,0.00927222465598408,0.9332175584279018,0.9730923694779117,,2026-06-26 22:05:17
Baseline lr=1e-1,0,done,0.1,20,1,1,20,0.0,0.8830804217990288,0.010544318987916244,0.9303471444568869,0.005900085049191263,0.923610115769993,0.9622489959839358,,2026-06-26 22:09:28
Baseline lr=5e-1,0,done,0.5,20,1,1,20,0.0,0.02251012812800564,0.034079029951678295,0.5910414333706606,0.25757768079127186,0.025081166098987796,0.3281124497991968,,2026-06-26 22:10:40
"Hyperparameter Tuning, d_model=64, lr=5e-2",1,done,0.05,64,1,1,20,0.0,0.788493125073807,0.07588983415706411,0.8369540873460247,0.05117274881117752,0.8265096551081326,0.8642570281124498,,2026-06-26 22:14:45
"Hyperparameter Tuning, d_model=64, lr=1e-2",1,done,0.01,64,1,1,20,0.0,0.8895235111025747,0.004135576873971597,0.9305711086226204,0.0071176925339622695,0.9418119243773748,0.9734939759036145,,2026-06-26 22:26:38
"Hyperparameter Tuning, d_model= 64, lr=1e-2, num_layers=2",1,done,0.01,64,1,2,20,0.0,0.8834056471642713,0.00782663157667016,0.9272116461366181,0.006793169490751669,0.92872082670212,0.9634538152610441,,2026-06-27 08:41:56
"Hyperparameter Tuning, d_model= 64, lr=1e-2, ff_dim=128",1,done,0.01,64,1,1,128,0.0,0.882458220722096,0.009796940420028363,0.9234042553191489,0.010375126380202002,0.9283031806255388,0.9630522088353415,,2026-06-27 08:52:22
"Hyperparameter Tuning, d_model= 64, lr=1e-2, n_heads=4",1,done,0.01,64,4,1,20,0.0,0.8891881223818661,0.005580223188614447,0.9258678611422171,0.00691755664567993,0.9385447056056414,0.9670682730923694,,2026-06-27 08:55:55
"Hyperparameter Tuning, d_model= 64, lr=5e-2, n_heads=4",1,done,0.05,64,4,1,20,0.0,0.8870657344435748,0.0051010877707914,0.9195968645016798,0.009746945194619898,0.9286762999407003,0.9518072289156627,,2026-06-27 09:06:13
"Hyperparameter Tuning, d_model= 64, lr=1e-3, n_heads=4",1,done,0.001,64,4,1,20,0.0,0.8526354910922738,0.007040658825281873,0.8924972004479284,0.013192991243021847,0.9101208838656554,0.9409638554216867,,2026-06-27 09:12:45
"Dropout, d_model=64, lr=1e-2, dropout=0.1",2,done,0.01,64,1,1,20,0.1,0.8903861651348954,0.0055915843925512165,0.9218365061590145,0.007025481362310463,0.9381362901798767,0.9634538152610441,,2026-06-27 09:16:56
"Dropout, n_heads=4s, lr=1e-2, dropout=0.1",2,done,0.01,20,4,1,20,0.1,0.870241194115391,0.010244718058043863,0.9200447928331468,0.005558644410298254,0.921184369329817,0.9602409638554217,,2026-06-27 09:21:46
"Dropout, d_model=128, lr=1e-2, dropout=0.1",2,done,0.01,128,1,1,20,0.1,0.8728849572533219,0.019714007958511047,0.8658454647256439,0.0369534086605023,0.9168846686627573,0.8995983935742972,,2026-06-27 09:24:19
"Hyperparameter Tuning, d_model= 64, lr=1e-2, ff_dim=256",1,done,0.01,64,1,1,256,0.0,0.8858033618804149,0.003256265227442604,0.9283314669652855,0.006491098206579797,0.9329287783478367,0.9666666666666666,,2026-06-27 09:33:12
"Dropout, d_model= 64, lr=1e-2, ff_dim=256, dropout=0.2",2,done,0.01,64,1,1,256,0.2,0.8850839388261965,0.00705195480112531,0.9337066069428891,0.008685652600074058,0.9367032274032603,0.970281124497992,,2026-06-27 09:36:59
"Dropout, d_model= 64, lr=1e-2, ff_dim=256, h_heads=4, dropout=0.2",2,done,0.01,64,4,1,256,0.2,0.8769573313072809,0.004913681339360594,0.929451287793953,0.003321925414152571,0.9321148125937869,0.9722891566265061,,2026-06-27 09:42:26
"Dropout, d_model= 64, lr=1e-2, ff_dim=256, dropout=0.3",2,done,0.01,64,1,1,256,0.3,0.8828891771273586,0.01051156243260473,0.9307950727883538,0.008301793053908468,0.9372609142707304,0.9646586345381525,,2026-06-27 09:46:37
"Dropout, d_model= 64, lr=1e-2, ff_dim=256, num_layers=2, dropout=0.2",2,done,0.01,64,1,2,256,0.2,0.8776589392838664,0.010601675366365753,0.9198208286674131,0.017827322501350416,0.9266808590850847,0.9654618473895583,,2026-06-27 09:49:46
